sep=;
TrialId = 0;EndState = Normal
experiment_start_time;trackingSpace;obstacleType;pathSeedChoice;redirector;resetter;reset_count;virtual_way_distance;virtual_distance_between_resets_average;time_elapsed_between_resets_average;sum_injected_translation(IN METERS);sum_injected_rotation_g_r(IN DEGREES);sum_injected_rotation_g_c(IN DEGREES);sum_real_distance_travelled(IN METERS);sum_virtual_distance_travelled(IN METERS);min_g_t;max_g_t;min_g_r;max_g_r;min_g_c;max_g_c;g_t_average;injected_translation_average;g_r_average;injected_rotation_from_rotation_gain_average;g_c_average;injected_rotation_from_curvature_gain_average;injected_rotation_average;real_position_average;virtual_position_average;distance_to_boundary_average;distance_to_center_average;experiment_duration;execute_duration;average_sampling_interval;
2021-10-03_15-13-13;Rectangle;0;LongWalk;S2C;TwoOneTurn;1;20;10.00001;9.145822;0;0.06302415;68.2801;20.00002;20.00002;N/A;N/A;-0.025;0.08318806;-0.1781277;5.691335E-06;0;0;7.818053E-06;4.553965E-06;0.0263357;0.0003523159;0.0003531064;(-4.2, -2.6);(0.0, 0.0);5.782151;5.128218;18.29164;22.0932608;0.1079112;
2021-10-03_15-13-13;Rectangle;0;LongWalk;S2C;TwoOneTurn;1;20;10.00001;9.145822;0;0.167229;68.55163;20;20;N/A;N/A;-0.219189;0.06882834;-0.1751241;1.627702E-05;0;0;1.18466E-05;6.602967E-06;0.0263355;0.0003519297;0.0003510687;(-2.6, 4.1);(-0.1, 0.1);7.375662;4.999624;18.29164;22.0922752;0.1079112;
2021-10-03_15-13-13;Rectangle;0;LongWalk;S2C;TwoOneTurn;1;20;10.00001;9.145822;0;0.1677386;68.55151;20.00002;20.00002;N/A;N/A;-0.2105458;0.0688704;-0.1751396;-2.802597E-45;0;0;1.142925E-05;6.627922E-06;0.02633542;0.0003519288;0.0003510714;(2.6, -4.1);(0.1, -0.1);7.37568;4.999632;18.29164;22.0922752;0.1079112;
2021-10-03_15-13-13;Rectangle;0;LongWalk;S2C;TwoOneTurn;2;20;6.657107;6.097214;0;0;64.64629;19.97133;19.97133;N/A;N/A;N/A;N/A;-0.1751453;2.283723E-05;0;0;0;0;0.02443849;0.0003283067;0.0003283067;(0.4, 1.1);(0.7, 0.7);6.965214;3.899822;18.29164;22.0922752;0.1079112;
